event_id_cnty,country,year,ntl_mean_5km,ntl_p90_5km,ntl_std_5km,ntl_year
ARG7970,Argentina,2021,74.97777317086184,96.90928649902344,25.243256195944358,2020
ARG7446,Argentina,2021,9.064131792483455,33.76015853881836,15.482410264256695,2020
ARG7467,Argentina,2021,9.064131792483455,33.76015853881836,15.482410264256695,2020
ARG6788,Argentina,2021,1.533435476860586,2.67930006980896,2.4097579065411407,2020
ARG7003,Argentina,2021,1.533435476860586,2.67930006980896,2.4097579065411407,2020
ARG8225,Argentina,2021,1.533435476860586,2.67930006980896,2.4097579065411407,2020
ARG8566,Argentina,2021,1.533435476860586,2.67930006980896,2.4097579065411407,2020
ARG9127,Argentina,2021,1.533435476860586,2.67930006980896,2.4097579065411407,2020
ARG9183,Argentina,2021,0.6972957484040316,0.8029842972755432,1.3289016978047412,2020
ARG7596,Argentina,2021,14.572049322208343,33.781394958496094,11.357431387650958,2020
ARG7460,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG7477,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG7509,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG7531,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG7551,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG7909,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG7914,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG10951,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG8643,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG8653,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG8685,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG9070,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG9134,Argentina,2021,7.731681206590063,22.425132751464844,11.205928249898381,2020
ARG6435,Argentina,2021,4.010307032916646,13.055462837219238,8.028575801702493,2020
ARG6512,Argentina,2021,0.23645921149303528,0.24532660841941833,0.007438292250312959,2020
ARG9006,Argentina,2021,0.5181667641819486,0.6691083613058065,0.6377792599390751,2020
