event_id_cnty,year,latitude,longitude,country
BRA62509,2023,-1.444,-48.4728,Brazil
BRA62590,2023,-23.5506,-46.6334,Brazil
COL18893,2023,11.3783,-72.2419,Colombia
ARG12073,2023,-32.9528,-60.6473,Argentina
BRA62570,2023,-5.795,-35.2094,Brazil
PER5801,2023,-16.3989,-71.535,Peru
MEX69136,2023,19.4313,-99.1531,Mexico
MEX69137,2023,19.4829,-99.1135,Mexico
MEX69141,2023,22.1172,-103.2647,Mexico
MEX69142,2023,20.6764,-103.3422,Mexico
MEX69151,2023,25.7553,-100.2896,Mexico
MEX69152,2023,16.4333,-95.0216,Mexico
MEX69158,2023,22.2161,-97.8584,Mexico
MEX69162,2023,19.2073,-96.2732,Mexico
PER7333,2023,-12.0733,-77.017,Peru
MEX69133,2023,19.8448,-90.5396,Mexico
MEX69140,2023,17.5516,-99.5011,Mexico
MEX69156,2023,18.0077,-92.8819,Mexico
MEX73747,2023,24.024,-104.6702,Mexico
MEX69145,2023,19.9532,-99.5375,Mexico
MEX69134,2023,14.9111,-92.2643,Mexico
CHI9838,2023,-32.8337,-70.5983,Chile
MEX69163,2023,20.5341,-97.4436,Mexico
MEX69164,2023,20.6997,-88.5888,Mexico
MEX69138,2023,21.122,-101.6832,Mexico
BRA62586,2023,-23.2651,-47.2996,Brazil
PER5790,2023,-9.0853,-78.5783,Peru
PER5793,2023,-16.3989,-71.535,Peru
PER5804,2023,-18.0147,-70.2536,Peru
PER5806,2023,-12.0566,-77.1181,Peru
PER5807,2023,-6.7714,-79.8409,Peru
PER5808,2023,-8.116,-79.03,Peru
PER5809,2023,-13.5226,-71.9673,Peru
PER5811,2023,-16.3989,-71.535,Peru
MEX69171,2023,26.9261,-101.4494,Mexico
MEX69194,2023,18.4622,-97.392,Mexico
MEX69195,2023,19.97,-97.8403,Mexico
MEX69199,2023,18.5301,-92.6522,Mexico
MEX69205,2023,17.991,-94.5484,Mexico
ARG12149,2023,-23.1421,-64.3225,Argentina
PER7227,2023,-9.2953,-75.9957,Peru
PER7334,2023,-8.0738,-74.5565,Peru
CHI9836,2023,-33.4546,-70.6823,Chile
MEX69168,2023,20.1369,-90.175,Mexico
PER5802,2023,-3.7491,-73.2538,Peru
MEX69170,2023,19.4841,-99.1844,Mexico
PER5812,2023,-5.1945,-80.6328,Peru
MEX69173,2023,24.024,-104.6702,Mexico
MEX69174,2023,24.024,-104.6702,Mexico
COL19974,2023,5.2937,-72.7032,Colombia
MEX69204,2023,19.1799,-96.1356,Mexico
MEX69202,2023,18.1379,-94.453,Mexico
ARG12076,2023,-41.1335,-71.3103,Argentina
BRA62516,2023,-1.7177,-49.5319,Brazil
BRA62559,2023,-22.8569,-43.3008,Brazil
BRA62562,2023,-22.8569,-43.3008,Brazil
BRA62593,2023,-23.5506,-46.6334,Brazil
COL18805,2023,10.4605,-73.2594,Colombia
PER5795,2023,-10.9257,-74.8729,Peru
PER5805,2023,-18.0147,-70.2536,Peru
PER5810,2023,-16.0833,-69.6667,Peru
PER5814,2023,-16.5648,-69.0401,Peru
PER5815,2023,-13.5226,-71.9673,Peru
PER5816,2023,-15.9731,-69.7946,Peru
PER5817,2023,-16.2457,-69.0931,Peru
PER5819,2023,-14.4157,-73.2047,Peru
PER5820,2023,-16.4975,-69.1018,Peru
PER5821,2023,-16.273,-69.2924,Peru
PER5823,2023,-12.0733,-77.017,Peru
PER5824,2023,-13.3333,-71.95,Peru
PER5825,2023,-14.1017,-71.4296,Peru
PER5826,2023,-13.6903,-71.6407,Peru
PER5827,2023,-14.1456,-71.4072,Peru
PER5828,2023,-13.9306,-75.9214,Peru
PER5830,2023,-15.8422,-70.0199,Peru
MEX69213,2023,19.372,-99.1579,Mexico
MEX69214,2023,25.5281,-103.2304,Mexico
MEX69215,2023,25.5701,-103.4964,Mexico
MEX69220,2023,21.0161,-101.2536,Mexico
MEX69224,2023,20.6764,-103.3422,Mexico
MEX69228,2023,19.7034,-101.192,Mexico
MEX69235,2023,17.991,-94.5484,Mexico
MEX69238,2023,20.9222,-89.4623,Mexico
PER7231,2023,-12.8633,-72.6931,Peru
PER7232,2023,-15.3214,-69.3413,Peru
PER7235,2023,-12.5933,-69.1891,Peru
PER7239,2023,-8.0738,-74.5565,Peru
PER7248,2023,-17.1983,-70.9357,Peru
PER7268,2023,-7.0556,-76.5897,Peru
PER7278,2023,-6.6822,-78.5201,Peru
PER7292,2023,-11.495,-77.2078,Peru
PER7335,2023,-14.2952,-73.244,Peru
PER7338,2023,-14.2694,-71.2261,Peru
PER7339,2023,-6.4777,-76.3845,Peru
MEX69211,2023,17.6064,-93.1921,Mexico
CHI9837,2023,-33.4569,-70.6483,Chile
ARG12077,2023,-43.2527,-65.3062,Argentina
PER7279,2023,-5.2266,-80.6158,Peru
PER5813,2023,-15.4944,-70.1208,Peru
ARG12080,2023,-33.0862,-60.5622,Argentina
PER5822,2023,-12.0651,-75.2049,Peru
PER7336,2023,-12.6244,-73.7878,Peru
PER7337,2023,-12.6194,-73.7881,Peru
ARG12066,2023,-34.6141,-58.4579,Argentina
PER7233,2023,-9.9585,-76.2485,Peru
PER7234,2023,-9.9306,-76.2422,Peru
MEX69239,2023,22.7761,-102.5718,Mexico
MEX69226,2023,19.657,-99.2093,Mexico
COL18808,2023,5.124,-74.952,Colombia
MEX69227,2023,20.0149,-99.5302,Mexico
MEX69234,2023,19.1799,-96.1356,Mexico
MEX69237,2023,20.5341,-97.4436,Mexico
MEX69229,2023,25.6647,-100.311,Mexico
MEX69236,2023,18.0702,-94.4069,Mexico
MEX69222,2023,20.1224,-98.737,Mexico
ARG12063,2023,-32.7473,-60.7354,Argentina
ARG12067,2023,-38.9276,-67.9925,Argentina
ARG12081,2023,-33.2458,-61.3589,Argentina
ARG12082,2023,-31.4355,-64.2009,Argentina
ARG12083,2023,-32.9528,-60.6473,Argentina
ARG12084,2023,-40.807,-65.0885,Argentina
ARG12085,2023,-37.9975,-57.5483,Argentina
BRA62500,2023,-19.9208,-43.9378,Brazil
BRA62566,2023,-22.9147,-43.4879,Brazil
COL18809,2023,10.5564,-75.5002,Colombia
COL18810,2023,5.0577,-75.4911,Colombia
PER5796,2023,-10.9257,-74.8729,Peru
PER5797,2023,-16.3989,-71.535,Peru
PER5831,2023,-13.5226,-71.9673,Peru
PER5832,2023,-14.2694,-71.2261,Peru
PER5833,2023,-13.4706,-72.1483,Peru
PER5834,2023,-13.3959,-72.0517,Peru
PER5836,2023,-12.8633,-72.6931,Peru
PER5837,2023,-13.9306,-75.9214,Peru
PER5838,2023,-13.986,-75.7729,Peru
PER5840,2023,-9.0853,-78.5783,Peru
PER5841,2023,-13.2586,-70.3278,Peru
PER5842,2023,-14.0833,-70.4333,Peru
PER5843,2023,-15.3108,-70.2211,Peru
PER5844,2023,-14.112,-69.0476,Peru
PER5845,2023,-14.2333,-69.4333,Peru
PER5846,2023,-13.9735,-69.0094,Peru
PER5847,2023,-17.1983,-70.9357,Peru
PER5848,2023,-16.5648,-69.0401,Peru
PER5849,2023,-18.0147,-70.2536,Peru
PER5851,2023,-13.101,-70.3679,Peru
PER5852,2023,-12.5933,-69.1891,Peru
PER5853,2023,-14.2952,-73.244,Peru
PER5854,2023,-13.6552,-73.4291,Peru
MEX69246,2023,19.4313,-99.1531,Mexico
MEX69298,2023,18.5301,-92.6522,Mexico
PER7249,2023,-16.0833,-69.6667,Peru
PER7250,2023,-18.0396,-70.254,Peru
PER7340,2023,-13.6446,-73.0862,Peru
PER7341,2023,-13.5309,-73.6753,Peru
PER7343,2023,-11.4039,-74.7525,Peru
PER7344,2023,-14.8864,-70.5889,Peru
PER7345,2023,-16.2133,-69.4592,Peru
COL18814,2023,7.065,-73.85,Colombia
MEX69256,2023,19.2935,-99.6573,Mexico
PER7342,2023,-14.6914,-74.1262,Peru
MEX69262,2023,18.1353,-96.9058,Mexico
MEX69251,2023,20.5215,-100.814,Mexico
MEX69304,2023,22.7761,-102.5718,Mexico
MEX69241,2023,15.7449,-92.2833,Mexico
PER5839,2023,-14.0678,-75.7286,Peru
CHI9832,2023,-37.1747,-72.9463,Chile
MEX69255,2023,20.1224,-98.737,Mexico
CHI15437,2023,-45.5752,-72.0662,Chile
ARG12086,2023,-31.5906,-68.5553,Argentina
ARG12087,2023,-41.1335,-71.3103,Argentina
BRA62501,2023,-19.9208,-43.9378,Brazil
CHI9840,2023,-33.051,-71.3941,Chile
PER5791,2023,-16.0479,-72.484,Peru
PER5792,2023,-9.0231,-78.6156,Peru
PER5798,2023,-10.9257,-74.8729,Peru
PER5799,2023,-6.5999,-79.252,Peru
PER5855,2023,-13.9306,-75.9214,Peru
PER5856,2023,-13.986,-75.7729,Peru
PER5858,2023,-6.7714,-79.8409,Peru
PER5859,2023,-13.2586,-70.3278,Peru
PER5860,2023,-14.0833,-70.4333,Peru
PER5861,2023,-15.3108,-70.2211,Peru
PER5862,2023,-14.112,-69.0476,Peru
PER5863,2023,-14.2333,-69.4333,Peru
PER5864,2023,-13.9735,-69.0094,Peru
PER5865,2023,-17.1983,-70.9357,Peru
PER5866,2023,-16.5648,-69.0401,Peru
PER5867,2023,-13.101,-70.3679,Peru
PER5868,2023,-12.5933,-69.1891,Peru
PER5869,2023,-14.2952,-73.244,Peru
PER5870,2023,-13.6552,-73.4291,Peru
MEX69306,2023,19.4313,-99.1531,Mexico
MEX69311,2023,20.6764,-103.3422,Mexico
MEX69320,2023,18.4622,-97.392,Mexico
BRA62758,2023,-23.6613,-46.701,Brazil
BRA62848,2023,-22.4566,-43.8394,Brazil
BRA62849,2023,-23.5506,-46.6334,Brazil
PER5873,2023,-9.1208,-78.5279,Peru
PER7251,2023,-16.2457,-69.0931,Peru
PER7280,2023,-14.2694,-71.2261,Peru
PER7282,2023,-14.4759,-70.6339,Peru
PER7325,2023,-6.4743,-78.8851,Peru
PER7346,2023,-13.5309,-73.6753,Peru
PER7347,2023,-13.6291,-71.3855,Peru
PER7349,2023,-13.5226,-71.9673,Peru
PER7350,2023,-12.617,-73.1049,Peru
