event_id_cnty,country,year,latitude,longitude
COL9556,Colombia,2022,11.5288,-72.9115
MEX54938,Mexico,2022,19.8,-99.8743
MEX54964,Mexico,2022,19.8448,-90.5396
CHI15421,Chile,2022,-33.036,-71.6296
MEX54923,Mexico,2022,19.8,-99.8743
BRA49818,Brazil,2022,-8.3975,-35.0609
MEX54928,Mexico,2022,18.2228,-99.2078
MEX54927,Mexico,2022,17.4036,-99.4671
MEX54965,Mexico,2022,19.8448,-90.5396
MEX54874,Mexico,2022,17.06,-96.7255
MEX54966,Mexico,2022,16.3737,-95.2605
MEX54968,Mexico,2022,16.5847,-95.2056
ARG9377,Argentina,2022,-34.6141,-58.4579
MEX54926,Mexico,2022,16.9297,-99.8025
MEX54922,Mexico,2022,19.2524,-100.02
CHI15415,Chile,2022,-37.7115,-71.9094
MEX54977,Mexico,2022,17.4036,-99.4671
MEX54978,Mexico,2022,19.7876,-98.5523
MEX54989,Mexico,2022,22.3916,-97.9367
MEX54875,Mexico,2022,26.9261,-101.4494
MEX54939,Mexico,2022,17.8068,-97.7762
MEX54970,Mexico,2022,28.6368,-106.0763
ARG9383,Argentina,2022,-36.4066,-63.4233
CHI8196,Chile,2022,-33.4546,-70.6823
ARG9384,Argentina,2022,-31.5347,-68.5303
ARG9382,Argentina,2022,-26.1813,-58.1881
BRA49846,Brazil,2022,2.9077,-61.4816
BRA49841,Brazil,2022,-19.747,-47.9373
BRA49840,Brazil,2022,-18.8686,-48.8823
ARG9381,Argentina,2022,-31.1364,-64.2965
BRA49827,Brazil,2022,-3.1019,-60.025
COL9571,Colombia,2022,7.1142,-73.2198
CHI8197,Chile,2022,-33.4939,-70.6762
COL10209,Colombia,2022,5.4103,-75.4881
MEX54990,Mexico,2022,20.9672,-89.6244
BRA49835,Brazil,2022,-14.424,-54.058
BRA49832,Brazil,2022,-16.0706,-57.6789
BRA49838,Brazil,2022,-11.8642,-55.5025
BRA49837,Brazil,2022,-16.4708,-54.6356
BRA49836,Brazil,2022,-10.879,-51.6397
