event_id_cnty,country,year,ntl_mean_5km,ntl_p90_5km,ntl_std_5km,ntl_year
ARG12014,Argentina,2022,7.313612609906358,19.15085220336914,6.991869463258232,2021
ARG9623,Argentina,2022,0.4093410673469524,0.5716445311423272,0.35335623224394236,2021
ARG9396,Argentina,2022,0.5038668277133984,0.6484078764915466,0.8007817428087841,2021
ARG11941,Argentina,2022,0.5038668277133984,0.6484078764915466,0.8007817428087841,2021
ARG9505,Argentina,2022,10.181086023713886,43.31380271911621,17.582020298214324,2021
ARG11826,Argentina,2022,10.181086023713886,43.31380271911621,17.582020298214324,2021
ARG10750,Argentina,2022,30.313614274481658,92.47430419921875,32.428095184567276,2021
ARG10722,Argentina,2022,30.313614274481658,92.47430419921875,32.428095184567276,2021
ARG11694,Argentina,2022,30.313614274481658,92.47430419921875,32.428095184567276,2021
ARG11117,Argentina,2022,1.3990962224623005,3.006761312484741,2.096242646220361,2021
ARG11404,Argentina,2022,1.3990962224623005,3.006761312484741,2.096242646220361,2021
ARG11624,Argentina,2022,1.3990962224623005,3.006761312484741,2.096242646220361,2021
ARG10049,Argentina,2022,24.785753206447826,56.497493743896484,20.541581524036967,2021
ARG9863,Argentina,2022,2.286363124008774,5.877118110656738,2.7477563421892537,2021
ARG11713,Argentina,2022,75.18373296685033,95.35101701996544,19.011153278896632,2021
ARG10729,Argentina,2022,4.552463548697848,12.218498229980469,8.94908251891973,2021
ARG10034,Argentina,2022,14.720437705548209,33.9046630859375,11.576355418037874,2021
ARG10513,Argentina,2022,14.720437705548209,33.9046630859375,11.576355418037874,2021
ARG10067,Argentina,2022,7.572239031899038,25.918834686279297,10.949750520766312,2021
ARG10130,Argentina,2022,7.572239031899038,25.918834686279297,10.949750520766312,2021
ARG10139,Argentina,2022,7.572239031899038,25.918834686279297,10.949750520766312,2021
ARG10293,Argentina,2022,7.572239031899038,25.918834686279297,10.949750520766312,2021
ARG10762,Argentina,2022,4.664878293367176,16.24504566192627,10.492500200677535,2021
ARG9438,Argentina,2022,1.190023358251246,1.722953520163925,1.8315430740702492,2021
ARG9826,Argentina,2022,1.190023358251246,1.722953520163925,1.8315430740702492,2021
ARG9957,Argentina,2022,1.190023358251246,1.722953520163925,1.8315430740702492,2021
ARG11116,Argentina,2022,1.190023358251246,1.722953520163925,1.8315430740702492,2021
ARG11402,Argentina,2022,1.190023358251246,1.722953520163925,1.8315430740702492,2021
ARG11507,Argentina,2022,1.190023358251246,1.722953520163925,1.8315430740702492,2021
ARG10197,Argentina,2022,0.8806168419897252,1.8764115571975708,0.7101974320848095,2021
ARG9395,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG9731,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG9750,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG9838,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG9857,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG9904,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG10269,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG10328,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG10335,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG10628,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG10679,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11086,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11098,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11107,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11148,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11199,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11249,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11254,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11303,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11420,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11422,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11419,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11602,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11716,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11801,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11802,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG11803,Argentina,2022,37.68834956481325,68.19892883300781,23.008519828770584,2021
ARG10370,Argentina,2022,7.852827111056402,19.04820156097412,7.511643011187802,2021
ARG11782,Argentina,2022,8.103912355828369,25.837329864501953,9.801932303007147,2021
ARG11896,Argentina,2022,8.103912355828369,25.837329864501953,9.801932303007147,2021
ARG10036,Argentina,2022,4.013875726372949,8.943288803100586,8.88386514857218,2021
ARG10575,Argentina,2022,4.013875726372949,8.943288803100586,8.88386514857218,2021
ARG10592,Argentina,2022,4.013875726372949,8.943288803100586,8.88386514857218,2021
ARG9498,Argentina,2022,12.177498609631055,42.29161071777344,17.5749391585793,2021
ARG10066,Argentina,2022,12.177498609631055,42.29161071777344,17.5749391585793,2021
ARG10358,Argentina,2022,12.177498609631055,42.29161071777344,17.5749391585793,2021
